dataset,model,metric,value
electricity,tsfm_pretrained,MCS_in,0.987012987012987
electricity,tsfm_pretrained,MCS_ood,0.987012987012987
electricity,tsfm_pretrained,PDS_in_spearman,0.101792943898207
electricity,tsfm_pretrained,PDS_ood_spearman,0.013617960986382
electricity,tsfm_pretrained,PDS_in_pvalue,0.3783661703337958
electricity,tsfm_pretrained,PDS_ood_pvalue,0.906425803457922
electricity,tsfm_pretrained,FSS_baseline_cmp,-0.0348729548354142
electricity,tsfm_pretrained,PDS_baseline_cmp,0.101792943898207
electricity,tsfm_pretrained,LTC_step_baseline_cmp,4.124797344207764
electricity,tsfm_pretrained,LTC_dir_baseline_cmp,-0.5216158032417297
electricity,tsfm_pretrained,FSS_baseline_cmp_pvalue,0.0592769784286636
electricity,tsfm_pretrained,PDS_baseline_cmp_pvalue,0.3783661703337958
electricity,lstm,FSS_baseline_cmp,-0.9790897998482556
electricity,lstm,PDS_baseline_cmp,-0.0361480624638519
electricity,lstm,LTC_step_baseline_cmp,0.112896904349327
electricity,lstm,LTC_dir_baseline_cmp,-0.6347911953926086
electricity,lstm,FSS_baseline_cmp_pvalue,0.0
electricity,lstm,PDS_baseline_cmp_pvalue,0.7549555757971795
electricity,tcn,FSS_baseline_cmp,-0.9744354921626422
electricity,tcn,PDS_baseline_cmp,-0.1272937588727062
electricity,tcn,LTC_step_baseline_cmp,0.9200599193572998
electricity,tcn,LTC_dir_baseline_cmp,-0.6665306687355042
electricity,tcn,FSS_baseline_cmp_pvalue,0.0
electricity,tcn,PDS_baseline_cmp_pvalue,0.269930222059216
electricity,transformer,FSS_baseline_cmp,-0.9640980653377036
electricity,transformer,PDS_baseline_cmp,-0.3371628371628371
electricity,transformer,LTC_step_baseline_cmp,11.519160270690918
electricity,transformer,LTC_dir_baseline_cmp,-0.6802806854248047
electricity,transformer,FSS_baseline_cmp_pvalue,0.0
electricity,transformer,PDS_baseline_cmp_pvalue,0.0027128884393919
weather,tsfm_pretrained,MCS_in,0.987012987012987
weather,tsfm_pretrained,MCS_ood,0.987012987012987
weather,tsfm_pretrained,PDS_in_spearman,0.0893317209106682
weather,tsfm_pretrained,PDS_ood_spearman,0.0755560229244439
weather,tsfm_pretrained,PDS_in_pvalue,0.4397545894072158
weather,tsfm_pretrained,PDS_ood_pvalue,0.5136972192710558
weather,tsfm_pretrained,FSS_baseline_cmp,-0.0756898065102981
weather,tsfm_pretrained,PDS_baseline_cmp,0.0893317209106682
weather,tsfm_pretrained,LTC_step_baseline_cmp,5.615440845489502
weather,tsfm_pretrained,LTC_dir_baseline_cmp,-0.4251487255096435
weather,tsfm_pretrained,FSS_baseline_cmp_pvalue,4.1604770337558855e-05
weather,tsfm_pretrained,PDS_baseline_cmp_pvalue,0.4397545894072158
weather,lstm,FSS_baseline_cmp,-0.99567662505449
weather,lstm,PDS_baseline_cmp,-0.0134076449865923
weather,lstm,LTC_step_baseline_cmp,0.1207090318202972
weather,lstm,LTC_dir_baseline_cmp,-0.2408183217048645
weather,lstm,FSS_baseline_cmp_pvalue,0.0
weather,lstm,PDS_baseline_cmp_pvalue,0.9078646040746154
weather,tcn,FSS_baseline_cmp,-0.9565777864808668
weather,tcn,PDS_baseline_cmp,0.0318891634681108
weather,tcn,LTC_step_baseline_cmp,0.7190718054771423
weather,tcn,LTC_dir_baseline_cmp,-0.251540869474411
weather,tcn,FSS_baseline_cmp_pvalue,0.0
weather,tcn,PDS_baseline_cmp_pvalue,0.7830709003232545
weather,transformer,FSS_baseline_cmp,-0.7531539700252775
weather,transformer,PDS_baseline_cmp,-0.1351806088648193
weather,transformer,LTC_step_baseline_cmp,8.856709480285645
